CMDLINE /home/giinie/anaconda3/envs/jdev/bin/python julia1_memoryprofiler.py
MEM 4.363281 1553532277.9280
MEM 12.984375 1553532278.0284
MEM 21.710938 1553532278.1288
MEM 29.449219 1553532278.2292
MEM 36.984375 1553532278.3295
MEM 43.027344 1553532278.4299
MEM 53.363281 1553532278.5303
MEM 63.812500 1553532278.6306
MEM 74.070312 1553532278.7310
MEM 85.371094 1553532278.8314
MEM 97.125000 1553532278.9317
MEM 107.703125 1553532279.0321
MEM 122.941406 1553532279.1330
MEM 122.941406 1553532279.2334
MEM 122.941406 1553532279.3337
MEM 122.941406 1553532279.4340
MEM 123.199219 1553532279.5343
MEM 123.199219 1553532279.6347
MEM 123.242188 1553532279.7350
MEM 123.242188 1553532279.8353
MEM 123.242188 1553532279.9357
MEM 123.242188 1553532280.0360
MEM 123.242188 1553532280.1364
MEM 123.242188 1553532280.2372
MEM 123.242188 1553532280.3376
MEM 123.242188 1553532280.4380
MEM 123.492188 1553532280.5383
MEM 123.492188 1553532280.6386
MEM 123.492188 1553532280.7390
MEM 123.492188 1553532280.8393
MEM 123.492188 1553532280.9397
MEM 123.492188 1553532281.0401
MEM 123.492188 1553532281.1405
MEM 123.492188 1553532281.2408
MEM 123.742188 1553532281.3411
MEM 123.742188 1553532281.4415
MEM 123.742188 1553532281.5418
MEM 123.742188 1553532281.6422
MEM 123.742188 1553532281.7425
MEM 123.742188 1553532281.8429
MEM 123.742188 1553532281.9432
MEM 123.992188 1553532282.0435
MEM 123.992188 1553532282.1439
MEM 123.992188 1553532282.2442
MEM 123.992188 1553532282.3446
MEM 123.992188 1553532282.4449
MEM 123.992188 1553532282.5453
MEM 123.992188 1553532282.6456
MEM 123.992188 1553532282.7462
MEM 124.242188 1553532282.8465
MEM 124.242188 1553532282.9468
MEM 124.242188 1553532283.0483
MEM 124.242188 1553532283.1486
MEM 124.242188 1553532283.2490
MEM 124.242188 1553532283.3493
MEM 124.242188 1553532283.4497
MEM 124.242188 1553532283.5500
MEM 124.492188 1553532283.6504
MEM 124.492188 1553532283.7507
MEM 124.492188 1553532283.8511
MEM 124.492188 1553532283.9514
MEM 124.492188 1553532284.0517
MEM 124.492188 1553532284.1521
MEM 124.492188 1553532284.2525
MEM 124.492188 1553532284.3528
MEM 124.742188 1553532284.4531
MEM 124.742188 1553532284.5535
MEM 124.742188 1553532284.6538
MEM 124.742188 1553532284.7542
MEM 124.742188 1553532284.8545
MEM 124.742188 1553532284.9548
MEM 124.742188 1553532285.0551
MEM 124.992188 1553532285.1555
MEM 124.992188 1553532285.2558
MEM 124.992188 1553532285.3562
MEM 124.992188 1553532285.4565
MEM 124.992188 1553532285.5569
MEM 124.992188 1553532285.6572
MEM 124.992188 1553532285.7575
MEM 124.992188 1553532285.8579
MEM 125.242188 1553532285.9582
MEM 125.242188 1553532286.0586
MEM 125.242188 1553532286.1590
MEM 125.242188 1553532286.2593
MEM 125.242188 1553532286.3596
MEM 125.242188 1553532286.4600
MEM 125.242188 1553532286.5603
MEM 125.242188 1553532286.6606
MEM 125.492188 1553532286.7610
MEM 125.492188 1553532286.8613
MEM 125.492188 1553532286.9617
MEM 125.492188 1553532287.0624
MEM 125.492188 1553532287.1630
MEM 125.492188 1553532287.2633
MEM 125.492188 1553532287.3637
MEM 125.742188 1553532287.4640
MEM 125.742188 1553532287.5648
MEM 125.742188 1553532287.6657
MEM 125.742188 1553532287.7661
MEM 125.742188 1553532287.8664
MEM 125.742188 1553532287.9668
MEM 125.742188 1553532288.0676
FUNC __main__.calculate_z_serial_purepython 115.4844 1553532279.1016 126.2422 1553532289.3315
FUNC __main__.calc_pure_python 38.1641 1553532278.3826 38.5938 1553532289.3913
MEM 125.742188 1553532288.1687
MEM 125.992188 1553532288.2690
MEM 125.992188 1553532288.3693
MEM 125.992188 1553532288.4697
MEM 125.992188 1553532288.5700
MEM 125.992188 1553532288.6704
MEM 125.992188 1553532288.7707
MEM 125.992188 1553532288.8711
MEM 125.992188 1553532288.9714
MEM 125.992188 1553532289.0723
MEM 126.242188 1553532289.1727
MEM 126.242188 1553532289.2731
MEM 89.871094 1553532289.3739
