CMDLINE /home/giinie/anaconda3/envs/jdev/bin/python julia1_memoryprofiler2.py
MEM 6.886719 1553532425.7823
MEM 14.175781 1553532425.8827
MEM 22.589844 1553532425.9830
MEM 30.304688 1553532426.0836
MEM 37.097656 1553532426.1839
MEM 44.660156 1553532426.2843
MEM 55.773438 1553532426.3846
MEM 67.437500 1553532426.4850
MEM 79.285156 1553532426.5853
MEM 90.363281 1553532426.6857
MEM 100.425781 1553532426.7861
MEM 111.148438 1553532426.8865
MEM 123.035156 1553532426.9868
MEM 123.035156 1553532427.0871
MEM 123.035156 1553532427.1874
MEM 123.035156 1553532427.2878
MEM 123.035156 1553532427.3881
MEM 123.035156 1553532427.4885
MEM 123.035156 1553532427.5888
MEM 123.035156 1553532427.6891
MEM 123.035156 1553532427.7895
MEM 123.035156 1553532427.8905
MEM 123.035156 1553532427.9909
MEM 123.035156 1553532428.0913
MEM 123.035156 1553532428.1916
MEM 123.035156 1553532428.2920
MEM 123.292969 1553532428.3923
MEM 123.335938 1553532428.4926
MEM 123.335938 1553532428.5936
MEM 123.335938 1553532428.6940
MEM 123.335938 1553532428.7944
MEM 123.335938 1553532428.8948
MEM 123.335938 1553532428.9950
MEM 123.335938 1553532429.0954
MEM 123.335938 1553532429.1957
MEM 123.585938 1553532429.2961
MEM 123.585938 1553532429.3965
MEM 123.585938 1553532429.4968
MEM 123.585938 1553532429.5972
MEM 123.585938 1553532429.6974
MEM 123.585938 1553532429.7978
MEM 123.585938 1553532429.8982
MEM 123.585938 1553532429.9985
MEM 123.585938 1553532430.0989
MEM 123.835938 1553532430.1992
MEM 123.835938 1553532430.2996
MEM 123.835938 1553532430.4008
MEM 123.835938 1553532430.5012
MEM 123.835938 1553532430.6015
MEM 123.835938 1553532430.7019
MEM 123.835938 1553532430.8023
MEM 123.835938 1553532430.9027
MEM 124.085938 1553532431.0031
MEM 124.085938 1553532431.1034
MEM 124.085938 1553532431.2038
MEM 124.085938 1553532431.3041
MEM 124.085938 1553532431.4045
MEM 124.085938 1553532431.5048
MEM 124.085938 1553532431.6052
MEM 124.085938 1553532431.7056
MEM 124.335938 1553532431.8059
MEM 124.335938 1553532431.9063
MEM 124.335938 1553532432.0066
MEM 124.335938 1553532432.1070
MEM 124.335938 1553532432.2073
MEM 124.335938 1553532432.3077
MEM 124.335938 1553532432.4081
MEM 124.335938 1553532432.5084
MEM 124.585938 1553532432.6088
MEM 124.585938 1553532432.7095
MEM 124.585938 1553532432.8100
MEM 124.585938 1553532432.9103
MEM 124.585938 1553532433.0107
MEM 124.585938 1553532433.1109
MEM 124.585938 1553532433.2113
MEM 124.585938 1553532433.3116
MEM 124.835938 1553532433.4121
MEM 124.835938 1553532433.5124
MEM 124.835938 1553532433.6128
MEM 124.835938 1553532433.7131
MEM 124.835938 1553532433.8135
MEM 124.835938 1553532433.9138
MEM 124.835938 1553532434.0142
MEM 124.835938 1553532434.1146
MEM 125.085938 1553532434.2149
MEM 125.085938 1553532434.3153
MEM 125.085938 1553532434.4156
MEM 125.085938 1553532434.5160
MEM 125.085938 1553532434.6163
MEM 125.085938 1553532434.7167
MEM 125.085938 1553532434.8170
MEM 125.085938 1553532434.9174
MEM 125.335938 1553532435.0177
MEM 125.335938 1553532435.1181
MEM 125.335938 1553532435.2184
MEM 125.335938 1553532435.3188
MEM 125.335938 1553532435.4192
MEM 125.335938 1553532435.5195
MEM 125.335938 1553532435.6199
MEM 125.335938 1553532435.7202
MEM 125.585938 1553532435.8206
MEM 125.585938 1553532435.9209
FUNC __main__.calculate_z_serial_purepython 115.5781 1553532426.9229 126.3359 1553532438.5843
FUNC __main__.calc_pure_python 38.2656 1553532426.2220 38.6875 1553532438.6375
FUNC .create_output_list 115.5781 1553532426.9230 123.0352 1553532426.9268
FUNC .create_range_of_zs 123.0352 1553532427.9282 126.3359 1553532438.5843
FUNC .calculate_output 123.0352 1553532427.9283 126.3359 1553532438.5842
MEM 125.585938 1553532436.0214
MEM 125.585938 1553532436.1217
MEM 125.585938 1553532436.2220
MEM 125.585938 1553532436.3224
MEM 125.585938 1553532436.4228
MEM 125.585938 1553532436.5231
MEM 125.585938 1553532436.6235
MEM 125.835938 1553532436.7238
MEM 125.835938 1553532436.8242
MEM 125.835938 1553532436.9245
MEM 125.835938 1553532437.0249
MEM 125.835938 1553532437.1252
MEM 125.835938 1553532437.2256
MEM 125.835938 1553532437.3259
MEM 125.835938 1553532437.4263
MEM 126.085938 1553532437.5266
MEM 126.085938 1553532437.6269
MEM 126.085938 1553532437.7273
MEM 126.085938 1553532437.8277
MEM 126.085938 1553532437.9281
MEM 126.085938 1553532438.0284
MEM 126.085938 1553532438.1288
MEM 126.085938 1553532438.2292
MEM 126.085938 1553532438.3295
MEM 126.335938 1553532438.4299
MEM 126.335938 1553532438.5302
MEM 64.468750 1553532438.6307
