CMDLINE /home/giinie/anaconda3/envs/jdev/bin/python julia1_memoryprofiler2_xrange.py
MEM 1.933594 1553532569.6278
MEM 13.027344 1553532569.7282
MEM 21.496094 1553532569.8286
MEM 29.492188 1553532569.9289
MEM 37.035156 1553532570.0293
MEM 44.140625 1553532570.1297
MEM 54.605469 1553532570.2300
MEM 65.601562 1553532570.3304
MEM 76.085938 1553532570.4307
MEM 87.382812 1553532570.5311
MEM 98.363281 1553532570.6315
MEM 108.167969 1553532570.7318
MEM 120.015625 1553532570.8322
MEM 124.398438 1553532570.9326
MEM 124.398438 1553532571.0329
MEM 124.398438 1553532571.1332
MEM 124.398438 1553532571.2335
MEM 124.398438 1553532571.3338
MEM 124.398438 1553532571.4342
MEM 124.398438 1553532571.5346
MEM 124.398438 1553532571.6349
MEM 124.398438 1553532571.7352
MEM 124.398438 1553532571.8355
MEM 124.398438 1553532571.9359
MEM 124.398438 1553532572.0363
MEM 124.398438 1553532572.1366
MEM 124.398438 1553532572.2370
MEM 124.398438 1553532572.3373
MEM 124.398438 1553532572.4377
MEM 124.398438 1553532572.5380
MEM 124.546875 1553532572.6384
MEM 124.546875 1553532572.7387
MEM 124.546875 1553532572.8391
MEM 124.546875 1553532572.9394
MEM 124.546875 1553532573.0398
MEM 124.546875 1553532573.1402
MEM 124.546875 1553532573.2405
MEM 124.546875 1553532573.3408
MEM 124.796875 1553532573.4412
MEM 124.796875 1553532573.5415
MEM 124.796875 1553532573.6419
MEM 124.796875 1553532573.7422
MEM 124.796875 1553532573.8426
MEM 124.796875 1553532573.9429
MEM 124.796875 1553532574.0433
MEM 124.796875 1553532574.1437
MEM 125.046875 1553532574.2441
MEM 125.046875 1553532574.3444
MEM 125.046875 1553532574.4448
MEM 125.046875 1553532574.5451
MEM 125.046875 1553532574.6455
MEM 125.046875 1553532574.7460
MEM 125.046875 1553532574.8463
MEM 125.046875 1553532574.9466
MEM 125.296875 1553532575.0470
MEM 125.296875 1553532575.1473
MEM 125.296875 1553532575.2477
MEM 125.296875 1553532575.3480
MEM 125.296875 1553532575.4489
MEM 125.296875 1553532575.5493
MEM 125.296875 1553532575.6497
MEM 125.296875 1553532575.7500
MEM 125.546875 1553532575.8504
MEM 125.546875 1553532575.9507
MEM 125.546875 1553532576.0510
MEM 125.546875 1553532576.1514
MEM 125.546875 1553532576.2517
MEM 125.546875 1553532576.3521
MEM 125.546875 1553532576.4525
MEM 125.546875 1553532576.5528
MEM 125.796875 1553532576.6532
MEM 125.796875 1553532576.7538
MEM 125.796875 1553532576.8542
MEM 125.796875 1553532576.9546
MEM 125.796875 1553532577.0549
MEM 125.796875 1553532577.1553
MEM 125.796875 1553532577.2556
MEM 125.796875 1553532577.3560
MEM 126.046875 1553532577.4563
MEM 126.046875 1553532577.5566
MEM 126.046875 1553532577.6570
MEM 126.046875 1553532577.7573
MEM 126.046875 1553532577.8577
MEM 126.046875 1553532577.9580
MEM 126.046875 1553532578.0584
MEM 126.046875 1553532578.1587
MEM 126.296875 1553532578.2591
MEM 126.296875 1553532578.3594
MEM 126.296875 1553532578.4597
MEM 126.296875 1553532578.5601
MEM 126.296875 1553532578.6604
MEM 126.296875 1553532578.7608
MEM 126.296875 1553532578.8612
MEM 126.296875 1553532578.9615
MEM 126.546875 1553532579.0619
MEM 126.546875 1553532579.1622
MEM 126.546875 1553532579.2625
MEM 126.546875 1553532579.3629
MEM 126.546875 1553532579.4633
MEM 126.546875 1553532579.5636
MEM 126.546875 1553532579.6640
MEM 126.546875 1553532579.7644
FUNC __main__.calculate_z_serial_purepython 116.7266 1553532570.8304 127.2969 1553532582.3455
FUNC .create_output_list 116.7266 1553532570.8306 124.3984 1553532570.8347
FUNC .calculate_output 124.3984 1553532571.8359 127.2969 1553532582.3454
MEM 126.796875 1553532579.8648
MEM 126.796875 1553532579.9652
MEM 126.796875 1553532580.0655
MEM 126.796875 1553532580.1659
MEM 126.796875 1553532580.2662
MEM 126.796875 1553532580.3664
MEM 126.796875 1553532580.4668
MEM 126.796875 1553532580.5671
MEM 127.046875 1553532580.6675
MEM 127.046875 1553532580.7679
MEM 127.046875 1553532580.8682
MEM 127.046875 1553532580.9686
MEM 127.046875 1553532581.0689
MEM 127.046875 1553532581.1692
MEM 127.046875 1553532581.2701
MEM 127.046875 1553532581.3704
MEM 127.296875 1553532581.4708
MEM 127.296875 1553532581.5711
MEM 127.296875 1553532581.6715
MEM 127.296875 1553532581.7718
MEM 127.296875 1553532581.8724
MEM 127.296875 1553532581.9727
MEM 127.296875 1553532582.0731
MEM 127.296875 1553532582.1734
MEM 127.296875 1553532582.2738
MEM 127.296875 1553532582.3748
MEM 39.953125 1553532582.4753
